domain,q_id,k,item_or_fact_id,answer_group,status,total_required_parts,hit_parts,missing_part_ids,approved_gold_candidate_chunk_ids,missing_gold_candidate_chunk_ids,retrieved_top_k_chunk_ids,relevant_document_wrong_chunk,first_relevant_rank_below_k,failure_types
evidence,Q02,10,E01,,missed,1,0,"[""P01""]","{""P01"":[""79ddd90f5c73467d""]}","{""P01"":[""79ddd90f5c73467d""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,11,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E02,,partial,2,1,"[""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P02"":[""79ddd90f5c73467d""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,11,multi_part_partial_hit;relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E03,,partial,2,1,"[""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P02"":[""79ddd90f5c73467d""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,11,multi_part_partial_hit;relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E04,,missed,1,0,"[""P01""]","{""P01"":[""79ddd90f5c73467d""]}","{""P01"":[""79ddd90f5c73467d""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,11,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E06,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,16,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E07,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,16,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E08,,missed,1,0,"[""P01""]","{""P01"":[""7e29f360dd5f08f9""]}","{""P01"":[""7e29f360dd5f08f9""]}","[""b0d90e24d2027e75"",""0882031217cced40"",""e11153b1bfb5ab46"",""c2dd3127ada7a30d"",""513ec1bcd5f5b923"",""075fc641aa34013f"",""174356ea1cdddbb4"",""956909e95c37b507"",""568c3a9a7151aea4"",""6e776edb42ae8862""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E01,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""d432b3e48d9c75ba"",""4ceda6fb7adf725c"",""425bd254a5669805"",""d2a6bad6c7c7e171"",""2e7769d55c676170"",""c940e45164b9682b"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""dbb489277f5e04ec"",""06088335dba8593e""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E02,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""d432b3e48d9c75ba"",""4ceda6fb7adf725c"",""425bd254a5669805"",""d2a6bad6c7c7e171"",""2e7769d55c676170"",""c940e45164b9682b"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""dbb489277f5e04ec"",""06088335dba8593e""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E03,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""d432b3e48d9c75ba"",""4ceda6fb7adf725c"",""425bd254a5669805"",""d2a6bad6c7c7e171"",""2e7769d55c676170"",""c940e45164b9682b"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""dbb489277f5e04ec"",""06088335dba8593e""]",True,,correct_document_wrong_chunk
