domain,q_id,k,item_or_fact_id,answer_group,status,total_required_parts,hit_parts,missing_part_ids,approved_gold_candidate_chunk_ids,missing_gold_candidate_chunk_ids,retrieved_top_k_chunk_ids,relevant_document_wrong_chunk,first_relevant_rank_below_k,failure_types
evidence,Q02,10,E01,,missed,1,0,"[""P01""]","{""P01"":[""79ddd90f5c73467d""]}","{""P01"":[""79ddd90f5c73467d""]}","[""513ec1bcd5f5b923"",""4929725c07822755"",""6c13ce758c15dc53"",""fc8eed03351b9373"",""174356ea1cdddbb4"",""b0d90e24d2027e75"",""e11153b1bfb5ab46"",""a35a2f866d18fd19"",""0882031217cced40"",""c940e45164b9682b""]",True,36,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E02,,partial,2,1,"[""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P02"":[""79ddd90f5c73467d""]}","[""513ec1bcd5f5b923"",""4929725c07822755"",""6c13ce758c15dc53"",""fc8eed03351b9373"",""174356ea1cdddbb4"",""b0d90e24d2027e75"",""e11153b1bfb5ab46"",""a35a2f866d18fd19"",""0882031217cced40"",""c940e45164b9682b""]",True,36,multi_part_partial_hit;relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E03,,partial,2,1,"[""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P02"":[""79ddd90f5c73467d""]}","[""513ec1bcd5f5b923"",""4929725c07822755"",""6c13ce758c15dc53"",""fc8eed03351b9373"",""174356ea1cdddbb4"",""b0d90e24d2027e75"",""e11153b1bfb5ab46"",""a35a2f866d18fd19"",""0882031217cced40"",""c940e45164b9682b""]",True,36,multi_part_partial_hit;relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E04,,missed,1,0,"[""P01""]","{""P01"":[""79ddd90f5c73467d""]}","{""P01"":[""79ddd90f5c73467d""]}","[""513ec1bcd5f5b923"",""4929725c07822755"",""6c13ce758c15dc53"",""fc8eed03351b9373"",""174356ea1cdddbb4"",""b0d90e24d2027e75"",""e11153b1bfb5ab46"",""a35a2f866d18fd19"",""0882031217cced40"",""c940e45164b9682b""]",True,36,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E08,,missed,1,0,"[""P01""]","{""P01"":[""7e29f360dd5f08f9""]}","{""P01"":[""7e29f360dd5f08f9""]}","[""513ec1bcd5f5b923"",""4929725c07822755"",""6c13ce758c15dc53"",""fc8eed03351b9373"",""174356ea1cdddbb4"",""b0d90e24d2027e75"",""e11153b1bfb5ab46"",""a35a2f866d18fd19"",""0882031217cced40"",""c940e45164b9682b""]",True,,correct_document_wrong_chunk
evidence,Q02,10,E09,,missed,1,0,"[""P01""]","{""P01"":[""c2dd3127ada7a30d""]}","{""P01"":[""c2dd3127ada7a30d""]}","[""513ec1bcd5f5b923"",""4929725c07822755"",""6c13ce758c15dc53"",""fc8eed03351b9373"",""174356ea1cdddbb4"",""b0d90e24d2027e75"",""e11153b1bfb5ab46"",""a35a2f866d18fd19"",""0882031217cced40"",""c940e45164b9682b""]",True,20,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q04,10,E01,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""d432b3e48d9c75ba"",""513ec1bcd5f5b923"",""7e29f360dd5f08f9"",""c940e45164b9682b"",""4929725c07822755"",""4ceda6fb7adf725c"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""174356ea1cdddbb4"",""b08f31d8596d4dae""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E02,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""d432b3e48d9c75ba"",""513ec1bcd5f5b923"",""7e29f360dd5f08f9"",""c940e45164b9682b"",""4929725c07822755"",""4ceda6fb7adf725c"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""174356ea1cdddbb4"",""b08f31d8596d4dae""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E03,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""d432b3e48d9c75ba"",""513ec1bcd5f5b923"",""7e29f360dd5f08f9"",""c940e45164b9682b"",""4929725c07822755"",""4ceda6fb7adf725c"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""174356ea1cdddbb4"",""b08f31d8596d4dae""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E04,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","[""d432b3e48d9c75ba"",""513ec1bcd5f5b923"",""7e29f360dd5f08f9"",""c940e45164b9682b"",""4929725c07822755"",""4ceda6fb7adf725c"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""174356ea1cdddbb4"",""b08f31d8596d4dae""]",True,43,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q04,10,E05,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","{""P01"":[""eb8e6342e4c6b718""],""P02"":[""83f118467efc5728""]}","[""d432b3e48d9c75ba"",""513ec1bcd5f5b923"",""7e29f360dd5f08f9"",""c940e45164b9682b"",""4929725c07822755"",""4ceda6fb7adf725c"",""89fd8f0051c6aa1f"",""73b0a654d9a79c41"",""174356ea1cdddbb4"",""b08f31d8596d4dae""]",True,43,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,C1,,missed,1,0,"[""P01""]","{""P01"":[""6e776edb42ae8862""]}","{""P01"":[""6e776edb42ae8862""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,48,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,C3,,missed,1,0,"[""P01""]","{""P01"":[""71f3e27f3268315d""]}","{""P01"":[""71f3e27f3268315d""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,,correct_document_wrong_chunk
evidence,Q05,10,P1,,partial,2,1,"[""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P02"":[""79ddd90f5c73467d""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,47,multi_part_partial_hit;relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,P2,,partial,2,1,"[""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P02"":[""79ddd90f5c73467d""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,47,multi_part_partial_hit;relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X1,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""79ddd90f5c73467d""],""P02"":[""6e776edb42ae8862""]}","{""P01"":[""79ddd90f5c73467d""],""P02"":[""6e776edb42ae8862""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,47,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X10,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""66a2dbe9fa036e7f""],""P02"":[""6e776edb42ae8862""]}","{""P01"":[""66a2dbe9fa036e7f""],""P02"":[""6e776edb42ae8862""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,48,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X2,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""79ddd90f5c73467d""],""P02"":[""6e776edb42ae8862""]}","{""P01"":[""79ddd90f5c73467d""],""P02"":[""6e776edb42ae8862""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,47,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X3,,partial,2,1,"[""P02""]","{""P01"":[""a35a2f866d18fd19""],""P02"":[""e19520eac6dfcec3""]}","{""P02"":[""e19520eac6dfcec3""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,,multi_part_partial_hit;correct_document_wrong_chunk
evidence,Q05,10,X4,,missed,3,0,"[""P01"",""P02"",""P03""]","{""P01"":[""6e776edb42ae8862""],""P02"":[""79ddd90f5c73467d""],""P03"":[""66a2dbe9fa036e7f""]}","{""P01"":[""6e776edb42ae8862""],""P02"":[""79ddd90f5c73467d""],""P03"":[""66a2dbe9fa036e7f""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,47,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q05,10,X5,,missed,3,0,"[""P01"",""P02"",""P03""]","{""P01"":[""3e9b386d72ec488d""],""P02"":[""6e776edb42ae8862""],""P03"":[""66a2dbe9fa036e7f""]}","{""P01"":[""3e9b386d72ec488d""],""P02"":[""6e776edb42ae8862""],""P03"":[""66a2dbe9fa036e7f""]}","[""513ec1bcd5f5b923"",""fc8eed03351b9373"",""4929725c07822755"",""a35a2f866d18fd19"",""174356ea1cdddbb4"",""6c13ce758c15dc53"",""c940e45164b9682b"",""b0d90e24d2027e75"",""0092947ac4b1ebc2"",""15da0eb8b1a8d6f4""]",True,32,relevant_chunk_below_k;correct_document_wrong_chunk
