domain,q_id,k,item_or_fact_id,answer_group,status,total_required_parts,hit_parts,missing_part_ids,approved_gold_candidate_chunk_ids,missing_gold_candidate_chunk_ids,retrieved_top_k_chunk_ids,relevant_document_wrong_chunk,first_relevant_rank_below_k,failure_types
evidence,Q02,10,E01,,missed,1,0,"[""P01""]","{""P01"":[""79ddd90f5c73467d""]}","{""P01"":[""79ddd90f5c73467d""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",True,41,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E02,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",True,15,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E03,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","{""P01"":[""174356ea1cdddbb4""],""P02"":[""79ddd90f5c73467d""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",True,15,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E04,,missed,1,0,"[""P01""]","{""P01"":[""79ddd90f5c73467d""]}","{""P01"":[""79ddd90f5c73467d""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",True,41,relevant_chunk_below_k;correct_document_wrong_chunk
evidence,Q02,10,E05,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""513ec1bcd5f5b923""],""P02"":[""513ec1bcd5f5b923""]}","{""P01"":[""513ec1bcd5f5b923""],""P02"":[""513ec1bcd5f5b923""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",False,19,relevant_chunk_below_k
evidence,Q02,10,E06,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",False,27,relevant_chunk_below_k
evidence,Q02,10,E07,,missed,1,0,"[""P01""]","{""P01"":[""a35a2f866d18fd19""]}","{""P01"":[""a35a2f866d18fd19""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",False,27,relevant_chunk_below_k
evidence,Q02,10,E08,,missed,1,0,"[""P01""]","{""P01"":[""7e29f360dd5f08f9""]}","{""P01"":[""7e29f360dd5f08f9""]}","[""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""e11153b1bfb5ab46"",""568c3a9a7151aea4"",""ac0a08ee348ebfd2"",""80291f95394ec8c3"",""c2dd3127ada7a30d"",""45a5725154e605c2"",""b0d90e24d2027e75""]",False,,relevant_document_below_k_wrong_chunk
evidence,Q04,10,E01,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""425bd254a5669805"",""45a5725154e605c2"",""4ceda6fb7adf725c"",""80291f95394ec8c3"",""d432b3e48d9c75ba"",""e46a120e10645352"",""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""ac0a08ee348ebfd2""]",True,,correct_document_wrong_chunk
evidence,Q04,10,E02,,missed,2,0,"[""P01"",""P02""]","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","{""P01"":[""e11153b1bfb5ab46""],""P02"":[""d9d340e3f0b87b61""]}","[""425bd254a5669805"",""45a5725154e605c2"",""4ceda6fb7adf725c"",""80291f95394ec8c3"",""d432b3e48d9c75ba"",""e46a120e10645352"",""16763b2d9e5f94c0"",""7f297a05181105c0"",""caa9b1c10daca156"",""ac0a08ee348ebfd2""]",True,,correct_document_wrong_chunk
